team1,team2
 Kansas City Chiefs, Detroit Lions
 Kansas City Chiefs, Denver Broncos
 Kansas City Chiefs, Tennessee Titans
 Kansas City Chiefs, Los Angeles Chargers ¹
 Kansas City Chiefs, New England Patriots
 Kansas City Chiefs, Chicago Bears
 Los Angeles Chargers, Detroit Lions
 Los Angeles Chargers, Miami Dolphins
 Los Angeles Chargers, Tennessee Titans
 Los Angeles Chargers, Chicago Bears
 Los Angeles Chargers, Oakland Raiders
 Los Angeles Chargers, Denver Broncos
 Los Angeles Chargers, Jacksonville Jaguars
 Los Angeles Chargers, Kansas City Chiefs
 Los Angeles Rams, Carolina Panthers
 Los Angeles Rams, Cleveland Browns
 Los Angeles Rams, Seattle Seahawks
 Los Angeles Rams, Atlanta Falcons
 Los Angeles Rams, Pittsburgh Steelers
 Los Angeles Rams, Arizona Cardinals
 Los Angeles Rams, Dallas Cowboys
 Los Angeles Rams, San Francisco 49ers *
 Miami Dolphins, Dallas Cowboys
 Miami Dolphins, Buffalo Bills
 Miami Dolphins, Pittsburgh Steelers
 Miami Dolphins, Indianapolis Colts
 Miami Dolphins, Cleveland Browns
 Miami Dolphins, New York Jets
 Miami Dolphins, New York Giants
 Miami Dolphins, New England Patriots
 Minnesota Vikings, Green Bay Packers
 Minnesota Vikings, Chicago Bears
 Minnesota Vikings, New York Giants
 Minnesota Vikings, Detroit Lions
 Minnesota Vikings, Kansas City Chiefs
 Minnesota Vikings, Dallas Cowboys
 Minnesota Vikings, Seattle Seahawks
 Minnesota Vikings, Los Angeles Chargers
 New England Patriots, Miami Dolphins
 New England Patriots, Buffalo Bills
 New England Patriots, Washington Redskins
 New England Patriots, New York Jets
 New England Patriots, Baltimore Ravens
 New England Patriots, Philadelphia Eagles
 New England Patriots, Houston Texans
 New England Patriots, Cincinnati Bengals
 New Orleans Saints, Los Angeles Rams
 New Orleans Saints, Seattle Seahawks
 New Orleans Saints, Jacksonville Jaguars
 New Orleans Saints, Chicago Bears
 New Orleans Saints, Tampa Bay Buccaneers
 New Orleans Saints, Atlanta Falcons
 New Orleans Saints, Tennessee Titans
 New Orleans Saints, Carolina Panthers
 New York Giants, Dallas Cowboys
 New York Giants, Tampa Bay Buccaneers
 New York Giants, New England Patriots
 New York Giants, Detroit Lions
 New York Giants, New York Jets
 New York Giants, Chicago Bears
 New York Giants, Philadelphia Eagles
 New York Giants, Washington Redskins
 New York Jets, New England Patriots
 New York Jets, Philadelphia Eagles
 New York Jets, Jacksonville Jaguars
 New York Jets, Miami Dolphins
 New York Jets, Washington Redskins
 New York Jets, Cincinnati Bengals
 New York Jets, Baltimore Ravens
 New York Jets, Buffalo Bills
 Oakland Raiders, Minnesota Vikings
 Oakland Raiders, Indianapolis Colts
 Oakland Raiders, Green Bay Packers
 Oakland Raiders, Houston Texans
 Oakland Raiders, New York Jets
 Oakland Raiders, Kansas City Chiefs
 Oakland Raiders, Los Angeles Chargers *
 Oakland Raiders, Denver Broncos
 Philadelphia Eagles, Atlanta Falcons
 Philadelphia Eagles, Green Bay Packers
 Philadelphia Eagles, Minnesota Vikings
 Philadelphia Eagles, Dallas Cowboys
 Philadelphia Eagles, Buffalo Bills
 Philadelphia Eagles, Miami Dolphins
 Philadelphia Eagles, Washington Redskins
 Philadelphia Eagles, New York Giants
 Pittsburgh Steelers, New England Patriots
 Pittsburgh Steelers, San Francisco 49ers
 Pittsburgh Steelers, Los Angeles Chargers
 Pittsburgh Steelers, Cleveland Browns
 Pittsburgh Steelers, Cincinnati Bengals
 Pittsburgh Steelers, Arizona Cardinals
 Pittsburgh Steelers, New York Jets
 Pittsburgh Steelers, Baltimore Ravens
 San Francisco 49ers, Tampa Bay Buccaneers
 San Francisco 49ers, Cincinnati Bengals
 San Francisco 49ers, Los Angeles Rams
 San Francisco 49ers, Washington Redskins
 San Francisco 49ers, Arizona Cardinals
 San Francisco 49ers, Baltimore Ravens
 San Francisco 49ers, New Orleans Saints
 San Francisco 49ers, Seattle Seahawks
 Seattle Seahawks, Pittsburgh Steelers
 Seattle Seahawks, Arizona Cardinals
 Seattle Seahawks, Cleveland Browns
 Seattle Seahawks, Atlanta Falcons
 Seattle Seahawks, San Francisco 49ers
 Seattle Seahawks, Philadelphia Eagles
 Seattle Seahawks, Los Angeles Rams
 Seattle Seahawks, Carolina Panthers
 Tampa Bay Buccaneers, Carolina Panthers
 Tampa Bay Buccaneers, Los Angeles Rams
 Tampa Bay Buccaneers, New Orleans Saints
 Tampa Bay Buccaneers, Tennessee Titans
 Tampa Bay Buccaneers, Seattle Seahawks
 Tampa Bay Buccaneers, Atlanta Falcons
 Tampa Bay Buccaneers, Jacksonville Jaguars
 Tampa Bay Buccaneers, Detroit Lions
 Tennessee Titans, Cleveland Browns
 Tennessee Titans, Jacksonville Jaguars
 Tennessee Titans, Atlanta Falcons
 Tennessee Titans, Denver Broncos
 Tennessee Titans, Carolina Panthers
 Tennessee Titans, Indianapolis Colts
 Tennessee Titans, Oakland Raiders
 Tennessee Titans, Houston Texans
 Washington Redskins, Philadelphia Eagles
 Washington Redskins, New York Giants
 Washington Redskins, Miami Dolphins
 Washington Redskins, Minnesota Vikings
 Washington Redskins, Buffalo Bills
 Washington Redskins, Carolina Panthers
 Washington Redskins, Green Bay Packers
 Washington Redskins, Dallas Cowboys
